date,delay_severity,avg_wind_speed_lga,precipitation_lga,snowfall_lga,snow_depth_lga,average_temp_lga,max_temp_lga,min_temp_lga,wind_direction_fastest_2min_lga,wind_direction_fastest_5sec_lga,wind_speed_fastest_2min_lga,wind_speed_fastest_5sec_lga,avg_wind_speed_ord,precipitation_ord,snowfall_ord,snow_depth_ord,average_temp_ord,max_temp_ord,min_temp_ord,wind_direction_fastest_2min_ord,wind_direction_fastest_5sec_ord,wind_speed_fastest_2min_ord,wind_speed_fastest_5sec_ord,month,day,airline_AA,airline_NK,airline_OO,airline_UA,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,12pm-3pm _dep,3pm-6pm _dep,6am-9am _dep,6pm-9pm _dep,9am-12pm _dep,9pm-12am _dep,12pm-3pm _arr,3pm-6pm _arr,6am-9am _arr,6pm-9pm _arr,9am-12pm _arr,9pm-12am _arr
2015-01-01,0,13.87,0.0,0.0,0.0,31.0,39.0,27.0,240.0,250.0,23.0,31.1,14.54,0.0,0.0,0.0,20.0,32.0,14.0,240.0,250.0,23.9,30.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2015-01-01,0,13.87,0.0,0.0,0.0,31.0,39.0,27.0,240.0,250.0,23.0,31.1,14.54,0.0,0.0,0.0,20.0,32.0,14.0,240.0,250.0,23.9,30.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2015-01-01,2,13.87,0.0,0.0,0.0,31.0,39.0,27.0,240.0,250.0,23.0,31.1,14.54,0.0,0.0,0.0,20.0,32.0,14.0,240.0,250.0,23.9,30.0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2015-01-01,0,13.87,0.0,0.0,0.0,31.0,39.0,27.0,240.0,250.0,23.0,31.1,14.54,0.0,0.0,0.0,20.0,32.0,14.0,240.0,250.0,23.9,30.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2015-01-01,0,13.87,0.0,0.0,0.0,31.0,39.0,27.0,240.0,250.0,23.0,31.1,14.54,0.0,0.0,0.0,20.0,32.0,14.0,240.0,250.0,23.9,30.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2015-01-01,0,13.87,0.0,0.0,0.0,31.0,39.0,27.0,240.0,250.0,23.0,31.1,14.54,0.0,0.0,0.0,20.0,32.0,14.0,240.0,250.0,23.9,30.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2015-01-01,0,13.87,0.0,0.0,0.0,31.0,39.0,27.0,240.0,250.0,23.0,31.1,14.54,0.0,0.0,0.0,20.0,32.0,14.0,240.0,250.0,23.9,30.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2015-01-01,1,13.87,0.0,0.0,0.0,31.0,39.0,27.0,240.0,250.0,23.0,31.1,14.54,0.0,0.0,0.0,20.0,32.0,14.0,240.0,250.0,23.9,30.0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2015-01-01,0,13.87,0.0,0.0,0.0,31.0,39.0,27.0,240.0,250.0,23.0,31.1,14.54,0.0,0.0,0.0,20.0,32.0,14.0,240.0,250.0,23.9,30.0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2015-01-01,2,13.87,0.0,0.0,0.0,31.0,39.0,27.0,240.0,250.0,23.0,31.1,14.54,0.0,0.0,0.0,20.0,32.0,14.0,240.0,250.0,23.9,30.0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
