STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-01,13.87,0.0,0.0,0.0,31.0,39.0,27.0,240.0,250.0,23.0,31.1
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-02,13.65,0.0,0.0,0.0,39.0,42.0,35.0,290.0,290.0,25.1,32.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-03,9.62,0.67,0.0,0.0,35.0,41.0,31.0,50.0,50.0,16.1,19.9
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-04,10.96,0.31,0.0,0.0,45.0,57.0,41.0,280.0,280.0,30.0,44.1
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-05,20.8,0.0,0.0,0.0,42.0,50.0,22.0,300.0,300.0,32.0,49.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-06,8.28,0.05,1.0,0.0,21.0,22.0,18.0,290.0,310.0,21.0,25.9
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-07,19.91,0.0,0.0,1.2,22.0,25.0,10.0,310.0,300.0,36.0,46.1
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-08,14.32,0.0,0.0,0.0,13.0,21.0,8.0,310.0,320.0,28.0,36.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-09,16.11,0.12,1.8,0.0,24.0,33.0,19.0,270.0,270.0,32.0,40.9
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-10,14.32,0.0,0.0,1.2,22.0,24.0,17.0,300.0,280.0,21.9,30.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-11,8.72,0.0,0.0,0.0,25.0,37.0,19.0,270.0,270.0,18.1,23.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-12,5.82,0.39,0.0,0.0,36.0,39.0,34.0,350.0,360.0,14.1,18.1
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-13,14.09,0.0,0.0,0.0,30.0,36.0,17.0,350.0,350.0,23.9,32.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-14,10.07,0.0,0.0,0.0,22.0,32.0,17.0,40.0,60.0,17.0,23.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-15,9.62,0.0,0.0,0.0,29.0,34.0,25.0,260.0,310.0,17.0,23.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-16,18.12,0.0,0.0,0.0,34.0,42.0,20.0,310.0,320.0,36.9,46.1
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-17,10.07,0.0,0.0,0.0,22.0,30.0,17.0,310.0,300.0,21.9,25.9
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-18,5.37,1.98,0.0,0.0,33.0,43.0,29.0,270.0,260.0,18.1,23.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-19,15.21,0.0,0.0,0.0,39.0,42.0,37.0,310.0,300.0,28.0,36.9
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-20,10.96,0.0,0.0,0.0,37.0,40.0,32.0,310.0,310.0,18.1,21.9
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-21,6.93,0.0,0.0,0.0,31.0,35.0,25.0,50.0,50.0,12.1,16.1
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-22,8.28,0.0,0.0,0.0,34.0,39.0,31.0,310.0,310.0,19.9,23.9
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-23,9.84,0.0,0.0,0.0,32.0,39.0,28.0,320.0,320.0,23.0,28.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-24,11.63,0.73,4.1,3.1,35.0,40.0,32.0,290.0,290.0,23.9,31.1
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-25,13.42,0.0,0.0,1.2,38.0,42.0,30.0,300.0,290.0,25.1,31.1
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-26,18.57,0.3,6.0,1.2,27.0,30.0,22.0,40.0,50.0,29.1,38.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-27,16.55,0.25,5.0,9.1,24.0,28.0,19.0,360.0,360.0,28.0,38.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-28,12.3,0.0,0.0,7.9,24.0,34.0,17.0,310.0,340.0,21.0,28.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-29,6.93,0.03,0.3,5.9,26.0,36.0,21.0,210.0,190.0,13.0,17.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-30,17.9,0.15,1.5,7.1,34.0,37.0,20.0,310.0,310.0,36.0,46.1
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-01-31,21.47,0.0,0.0,5.9,20.0,26.0,13.0,330.0,300.0,35.1,46.1
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-01,7.61,0.04,0.4,5.1,27.0,36.0,20.0,300.0,300.0,16.1,21.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-02,16.78,1.08,6.1,9.1,30.0,33.0,15.0,50.0,40.0,32.0,40.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-03,11.86,0.0,0.0,9.1,19.0,28.0,14.0,310.0,320.0,25.9,35.1
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-04,6.04,0.0,0.0,9.1,30.0,41.0,23.0,210.0,220.0,13.0,16.1
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-05,17.67,0.0,0.0,5.9,33.0,40.0,14.0,330.0,320.0,30.0,40.9
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-06,12.3,0.0,0.0,5.9,18.0,27.0,12.0,260.0,260.0,23.0,31.1
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-07,7.61,0.01,0.2,5.1,29.0,36.0,26.0,260.0,250.0,15.0,19.9
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-08,12.3,0.0,0.0,3.9,33.0,36.0,30.0,40.0,50.0,19.9,25.1
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-09,16.78,0.07,0.2,3.1,29.0,31.0,26.0,50.0,50.0,23.9,31.1
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-10,12.3,0.0,0.0,3.9,30.0,39.0,26.0,360.0,360.0,21.0,25.1
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-11,9.17,0.0,0.0,3.9,28.0,33.0,22.0,170.0,40.0,21.0,25.9
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-12,12.97,0.0,0.0,3.9,32.0,40.0,17.0,330.0,320.0,33.1,40.9
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-13,17.22,0.0,0.0,3.9,18.0,22.0,9.0,320.0,290.0,33.1,40.9
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-14,8.05,0.05,0.6,3.9,23.0,32.0,16.0,190.0,210.0,19.9,25.1
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-15,26.62,0.01,0.2,5.1,20.0,26.0,5.0,320.0,320.0,36.9,48.1
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-16,13.42,0.0,0.0,5.1,10.0,21.0,4.0,310.0,310.0,31.1,38.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-17,6.93,0.13,3.2,7.9,19.0,28.0,14.0,50.0,50.0,15.0,21.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-18,6.71,0.0,0.1,7.1,24.0,31.0,18.0,250.0,220.0,16.1,21.9
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-19,21.03,0.0,0.0,5.1,22.0,27.0,9.0,310.0,290.0,32.0,40.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-20,17.22,0.0,0.0,5.1,11.0,21.0,3.0,290.0,290.0,30.0,38.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-21,8.5,0.6,3.6,5.1,20.0,32.0,14.0,180.0,170.0,18.1,23.9
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-22,5.14,0.11,0.5,7.9,34.0,42.0,31.0,270.0,310.0,15.0,21.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-23,18.34,0.0,0.0,5.9,29.0,38.0,8.0,310.0,310.0,28.0,38.9
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-24,8.95,0.0,0.0,5.9,12.0,25.0,6.0,310.0,310.0,21.0,23.9
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-25,10.07,0.0,0.0,5.9,28.0,38.0,21.0,300.0,300.0,23.0,30.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-26,10.74,0.0,0.0,5.1,27.0,32.0,21.0,40.0,50.0,17.0,23.9
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-27,9.84,0.0,0.0,5.1,24.0,30.0,19.0,320.0,330.0,19.9,23.9
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-02-28,5.82,0.0,0.0,5.1,22.0,30.0,15.0,330.0,330.0,19.9,23.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-03-01,4.47,0.48,3.5,3.1,27.0,30.0,24.0,180.0,170.0,16.1,19.9
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-03-02,14.76,0.0,0.0,5.9,32.0,38.0,28.0,310.0,320.0,31.1,40.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-03-03,9.4,0.72,1.0,5.1,28.0,36.0,24.0,180.0,190.0,18.1,21.9
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-03-04,8.5,0.25,0.0,3.9,39.0,47.0,36.0,220.0,240.0,16.1,21.9
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-03-05,12.08,0.6,8.1,3.1,33.0,41.0,20.0,320.0,320.0,23.9,30.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-03-06,6.93,0.0,0.0,11.0,21.0,28.0,15.0,330.0,340.0,21.0,25.1
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-03-07,10.07,0.0,0.0,5.9,27.0,39.0,20.0,240.0,240.0,18.1,25.9
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-03-08,8.5,0.0,0.0,5.1,40.0,49.0,35.0,340.0,330.0,25.1,33.1
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-03-09,6.93,0.02,0.0,3.1,45.0,54.0,36.0,300.0,240.0,19.9,28.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-03-10,6.49,0.42,0.0,1.2,41.0,54.0,33.0,50.0,60.0,12.1,18.1
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-03-11,10.74,0.02,0.0,0.0,46.0,60.0,37.0,310.0,300.0,23.9,32.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-03-12,18.12,0.0,0.0,0.0,45.0,47.0,37.0,340.0,350.0,32.0,46.1
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-03-13,9.62,0.0,0.0,0.0,37.0,43.0,31.0,170.0,170.0,17.0,21.9
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-03-14,8.05,1.02,0.0,0.0,44.0,51.0,37.0,300.0,300.0,16.1,21.9
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-03-15,18.34,0.0,0.0,0.0,44.0,47.0,37.0,320.0,320.0,33.1,46.1
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-03-16,7.16,0.0,0.0,0.0,40.0,51.0,36.0,310.0,320.0,18.1,21.9
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-03-17,17.67,0.01,0.0,0.0,48.0,54.0,34.0,310.0,310.0,38.0,51.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-03-18,18.79,0.0,0.0,0.0,34.0,38.0,28.0,320.0,320.0,32.0,40.0
USW00014732,"LAGUARDIA AIRPORT, NY US",2015-03-19,11.86,0.0,0.0,0.0,33.0,42.0,29.0,320.0,320.0,21.0,25.9
