DAY_OF_WEEK,AIRLINE,SCHEDULED_DEPARTURE,SCHEDULED_ARRIVAL,DATE,DELAY_SEVERITY
4,UA,700,839,2015-01-01,on-time
4,AA,700,845,2015-01-01,on-time
4,NK,830,1008,2015-01-01,major
4,AA,845,1030,2015-01-01,on-time
4,UA,900,1039,2015-01-01,on-time
4,AA,945,1125,2015-01-01,on-time
4,AA,1130,1315,2015-01-01,on-time
4,AA,1215,1400,2015-01-01,minor
4,UA,1225,1406,2015-01-01,on-time
4,AA,1315,1500,2015-01-01,major
4,UA,1400,1545,2015-01-01,on-time
4,AA,1425,1605,2015-01-01,on-time
4,UA,1600,1743,2015-01-01,on-time
4,AA,1610,1800,2015-01-01,on-time
4,UA,1700,1850,2015-01-01,on-time
4,AA,1705,1900,2015-01-01,on-time
4,UA,1800,1945,2015-01-01,on-time
4,AA,1800,1950,2015-01-01,on-time
4,AA,1845,2035,2015-01-01,on-time
4,AA,1950,2130,2015-01-01,on-time
4,NK,2155,2322,2015-01-01,minor
5,UA,600,739,2015-01-02,on-time
5,AA,630,810,2015-01-02,on-time
5,UA,700,839,2015-01-02,on-time
5,AA,700,845,2015-01-02,on-time
5,AA,730,915,2015-01-02,on-time
5,NK,830,1008,2015-01-02,minor
5,AA,845,1030,2015-01-02,on-time
5,UA,900,1039,2015-01-02,on-time
5,AA,945,1125,2015-01-02,on-time
5,AA,1020,1200,2015-01-02,minor
5,UA,1100,1240,2015-01-02,on-time
5,AA,1130,1315,2015-01-02,on-time
5,AA,1215,1400,2015-01-02,on-time
5,UA,1225,1406,2015-01-02,on-time
5,AA,1310,1455,2015-01-02,minor
5,UA,1400,1545,2015-01-02,on-time
5,AA,1425,1605,2015-01-02,on-time
5,UA,1600,1743,2015-01-02,on-time
5,AA,1610,1800,2015-01-02,on-time
5,UA,1700,1850,2015-01-02,minor
5,AA,1705,1900,2015-01-02,on-time
5,UA,1800,1945,2015-01-02,minor
5,AA,1800,1950,2015-01-02,on-time
5,AA,1845,2035,2015-01-02,minor
5,AA,1950,2130,2015-01-02,on-time
5,NK,2155,2322,2015-01-02,on-time
6,UA,600,739,2015-01-03,on-time
6,AA,630,810,2015-01-03,on-time
6,UA,700,839,2015-01-03,minor
6,AA,700,845,2015-01-03,minor
6,AA,730,915,2015-01-03,minor
6,UA,830,1007,2015-01-03,on-time
6,NK,830,1008,2015-01-03,minor
6,AA,845,1030,2015-01-03,minor
6,UA,930,1109,2015-01-03,on-time
6,AA,945,1125,2015-01-03,minor
6,AA,1020,1200,2015-01-03,minor
6,AA,1215,1400,2015-01-03,minor
6,AA,1425,1605,2015-01-03,major
6,OO,1702,1857,2015-01-03,major
6,AA,1705,1900,2015-01-03,major
6,UA,1837,2024,2015-01-03,minor
6,AA,1845,2035,2015-01-03,minor
6,AA,1950,2130,2015-01-03,minor
6,NK,2155,2322,2015-01-03,major
7,AA,630,810,2015-01-04,minor
7,UA,700,839,2015-01-04,on-time
7,AA,730,915,2015-01-04,on-time
7,NK,830,1008,2015-01-04,major
7,AA,845,1030,2015-01-04,on-time
7,UA,930,1109,2015-01-04,on-time
7,AA,945,1125,2015-01-04,on-time
7,UA,1030,1215,2015-01-04,on-time
7,AA,1130,1315,2015-01-04,on-time
7,AA,1215,1400,2015-01-04,minor
7,UA,1225,1406,2015-01-04,on-time
7,UA,1300,1446,2015-01-04,minor
7,AA,1310,1455,2015-01-04,on-time
7,AA,1425,1605,2015-01-04,major
7,UA,1500,1645,2015-01-04,major
7,AA,1610,1800,2015-01-04,major
7,AA,1705,1900,2015-01-04,major
7,UA,1715,1905,2015-01-04,major
7,AA,1800,1950,2015-01-04,major
7,AA,1845,2035,2015-01-04,minor
7,UA,1900,2047,2015-01-04,major
7,AA,1950,2130,2015-01-04,major
7,NK,2155,2322,2015-01-04,major
1,UA,600,739,2015-01-05,on-time
1,AA,630,810,2015-01-05,on-time
1,UA,700,840,2015-01-05,minor
1,AA,700,845,2015-01-05,major
1,AA,730,915,2015-01-05,on-time
1,UA,800,937,2015-01-05,on-time
1,NK,830,1008,2015-01-05,major
1,AA,845,1030,2015-01-05,on-time
1,UA,900,1039,2015-01-05,on-time
1,AA,945,1125,2015-01-05,on-time
1,UA,1000,1145,2015-01-05,on-time
1,AA,1020,1200,2015-01-05,major
1,UA,1100,1240,2015-01-05,on-time
1,AA,1130,1315,2015-01-05,on-time
1,UA,1225,1406,2015-01-05,major
1,UA,1300,1447,2015-01-05,major
1,AA,1310,1455,2015-01-05,major
1,UA,1400,1545,2015-01-05,major
1,AA,1425,1605,2015-01-05,major
1,UA,1500,1644,2015-01-05,major
1,UA,1600,1743,2015-01-05,on-time
1,AA,1610,1800,2015-01-05,on-time
1,UA,1700,1850,2015-01-05,major
1,AA,1705,1900,2015-01-05,major
1,AA,1800,1950,2015-01-05,minor
1,AA,1845,2035,2015-01-05,major
1,UA,1900,2047,2015-01-05,major
1,AA,1950,2130,2015-01-05,major
1,UA,2000,2137,2015-01-05,major
2,UA,600,736,2015-01-06,on-time
2,AA,600,744,2015-01-06,on-time
2,AA,631,815,2015-01-06,minor
2,UA,700,843,2015-01-06,minor
2,AA,730,916,2015-01-06,on-time
2,UA,800,940,2015-01-06,on-time
2,NK,830,1008,2015-01-06,major
2,UA,900,1048,2015-01-06,on-time
2,AA,945,1130,2015-01-06,minor
2,UA,1000,1145,2015-01-06,major
2,AA,1023,1210,2015-01-06,minor
2,AA,1133,1315,2015-01-06,major
2,AA,1215,1357,2015-01-06,major
2,UA,1227,1410,2015-01-06,minor
2,UA,1300,1440,2015-01-06,minor
2,UA,1400,1536,2015-01-06,minor
2,UA,1500,1639,2015-01-06,minor
2,UA,1600,1745,2015-01-06,major
2,AA,1611,1805,2015-01-06,major
2,UA,1700,1838,2015-01-06,major
2,AA,1709,1900,2015-01-06,major
2,UA,1800,1940,2015-01-06,major
2,AA,1805,1956,2015-01-06,major
2,AA,1848,2035,2015-01-06,minor
2,UA,1900,2049,2015-01-06,major
2,AA,1955,2134,2015-01-06,minor
2,UA,2000,2145,2015-01-06,major
2,AA,2055,2235,2015-01-06,minor
2,NK,2155,2322,2015-01-06,major
3,UA,600,737,2015-01-07,on-time
3,AA,600,744,2015-01-07,on-time
3,AA,631,815,2015-01-07,on-time
3,UA,700,844,2015-01-07,minor
3,AA,730,916,2015-01-07,minor
3,UA,800,940,2015-01-07,on-time
3,NK,830,1008,2015-01-07,on-time
3,AA,845,1030,2015-01-07,major
3,UA,900,1048,2015-01-07,on-time
3,AA,945,1130,2015-01-07,major
3,UA,1000,1145,2015-01-07,minor
3,AA,1023,1210,2015-01-07,minor
3,UA,1100,1247,2015-01-07,major
3,AA,1133,1315,2015-01-07,minor
3,AA,1215,1357,2015-01-07,minor
3,UA,1227,1410,2015-01-07,major
3,UA,1300,1440,2015-01-07,minor
3,UA,1400,1536,2015-01-07,minor
3,AA,1424,1610,2015-01-07,major
3,UA,1500,1639,2015-01-07,minor
3,AA,1611,1805,2015-01-07,on-time
3,UA,1700,1839,2015-01-07,major
3,UA,1800,1940,2015-01-07,major
3,AA,1805,1956,2015-01-07,major
3,AA,1848,2035,2015-01-07,on-time
3,UA,1900,2049,2015-01-07,major
3,AA,1955,2134,2015-01-07,major
