STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2015-01-01,14.54,0.0,0.0,0.0,20.0,32.0,14.0,240.0,250.0,23.9,30.0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2015-01-02,4.7,0.0,0.0,0.0,26.0,34.0,15.0,150.0,150.0,12.1,13.0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2015-01-03,5.59,0.57,0.4,0.0,31.0,34.0,29.0,140.0,140.0,13.0,14.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2015-01-04,15.88,0.13,2.2,1.2,29.0,33.0,2.0,320.0,320.0,25.9,31.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2015-01-05,10.29,0.15,1.8,2.0,2.0,6.0,-3.0,310.0,310.0,21.9,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2015-01-06,13.87,0.01,0.2,3.9,5.0,10.0,-5.0,270.0,280.0,23.9,30.0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2015-01-07,17.45,0.0,0.0,3.1,3.0,6.0,-6.0,330.0,320.0,28.0,33.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2015-01-08,17.67,0.06,3.0,3.1,-2.0,18.0,-8.0,300.0,300.0,28.0,38.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2015-01-09,16.55,0.0,0.0,5.1,8.0,11.0,0.0,330.0,330.0,30.0,38.0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2015-01-10,11.63,0.0,0.0,3.9,5.0,24.0,-2.0,180.0,190.0,21.9,27.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2015-01-11,8.28,0.19,2.6,3.9,26.0,32.0,22.0,180.0,180.0,18.1,21.0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2015-01-12,12.75,0.0,0.4,5.9,23.0,28.0,15.0,10.0,10.0,21.0,25.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2015-01-13,7.61,0.0,0.2,5.9,17.0,19.0,3.0,50.0,50.0,19.9,23.0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2015-01-14,6.49,0.0,0.0,5.9,11.0,19.0,1.0,220.0,220.0,14.1,18.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2015-01-15,10.07,0.0,0.0,5.1,22.0,34.0,17.0,240.0,230.0,21.0,27.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2015-01-16,8.28,0.0,0.0,3.9,28.0,34.0,23.0,140.0,140.0,15.0,18.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2015-01-17,15.43,0.0,0.0,3.9,34.0,42.0,26.0,210.0,220.0,28.0,36.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2015-01-18,10.51,0.0,0.0,0.0,37.0,40.0,27.0,300.0,240.0,19.9,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2015-01-19,5.37,0.0,0.0,0.0,32.0,41.0,25.0,100.0,100.0,12.1,13.0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2015-01-20,7.38,0.0,0.0,0.0,34.0,36.0,29.0,40.0,50.0,17.0,23.0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2015-01-21,7.61,0.01,0.1,0.0,31.0,33.0,29.0,20.0,40.0,14.1,17.0
